[2025-05-19 23:27:52] TransactionID: 4 | Amount: 3988.33 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:52] TransactionID: 2 | Amount: 930.5 | Status: SAFE | Reasons: None
[2025-05-19 23:27:52] TransactionID: 1 | Amount: 393.54 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 10 | Amount: 326.28 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 5 | Amount: 190.98 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 3 | Amount: 568.76 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 7 | Amount: 833.06 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 35 | Amount: 936.28 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 27 | Amount: 666.12 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 16 | Amount: 3021.78 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:53] TransactionID: 12 | Amount: 541.32 | Status: SAFE | Reasons: None
[2025-05-19 23:27:53] TransactionID: 28 | Amount: 181.47 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 32 | Amount: 4317.56 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:54] TransactionID: 11 | Amount: 187.92 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 23 | Amount: 2831.71 | Status: FRAUD | Reasons: High transaction amount, Nighttime high amount transaction
[2025-05-19 23:27:54] TransactionID: 22 | Amount: 179.66 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 38 | Amount: 239.09 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 17 | Amount: 45.01 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 8 | Amount: 608.64 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 9 | Amount: 823.58 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 44 | Amount: 4372.09 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:54] TransactionID: 18 | Amount: 2965.67 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:54] TransactionID: 46 | Amount: 907.95 | Status: SAFE | Reasons: None
[2025-05-19 23:27:54] TransactionID: 29 | Amount: 160.25 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 43 | Amount: 650.36 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 15 | Amount: 44.02 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 34 | Amount: 1870.97 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 26 | Amount: 409.4 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 13 | Amount: 715.46 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 19 | Amount: 218.33 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 24 | Amount: 739.14 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 53 | Amount: 655.22 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 39 | Amount: 420.11 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 59 | Amount: 248.42 | Status: SAFE | Reasons: None
[2025-05-19 23:27:55] TransactionID: 21 | Amount: 804.31 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 6 | Amount: 71.15 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 63 | Amount: 634.09 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 33 | Amount: 986.66 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 86 | Amount: 526.34 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 52 | Amount: 2863.61 | Status: FRAUD | Reasons: High transaction amount, Nighttime high amount transaction
[2025-05-19 23:27:56] TransactionID: 50 | Amount: 920.65 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 85 | Amount: 234.75 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 42 | Amount: 950.47 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 58 | Amount: 441.48 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 14 | Amount: 883.0 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 25 | Amount: 87.89 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 66 | Amount: 377.88 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 111 | Amount: 19.21 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 37 | Amount: 378.01 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 71 | Amount: 130.09 | Status: SAFE | Reasons: None
[2025-05-19 23:27:56] TransactionID: 30 | Amount: 853.33 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 68 | Amount: 157.51 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 51 | Amount: 309.07 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 40 | Amount: 543.03 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 89 | Amount: 473.56 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 164 | Amount: 730.38 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 45 | Amount: 696.33 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 148 | Amount: 4831.37 | Status: FRAUD | Reasons: High transaction amount
[2025-05-19 23:27:57] TransactionID: 65 | Amount: 871.4 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 41 | Amount: 462.5 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 140 | Amount: 406.21 | Status: SAFE | Reasons: None
[2025-05-19 23:27:57] TransactionID: 103 | Amount: 191.54 | Status: SAFE | Reasons: None
[2025-05-19 23:27:58] TransactionID: 83 | Amount: 119.07 | Status: SAFE | Reasons: None
